ID,Substrate,Ceramic,Thickness,Lsub,asub,bsub,Lcer,acer,bcer,L,a,b
492,Black,Empress HT A3,0.3,22.06166667,8.801676766,0.335,61.71,1.511666667,13.41833333,35.33,-0.5,-4.11
490,Black,Empress HT A3,0.3,22.06166667,8.801676766,0.335,61.71,1.511666667,13.41833333,35.38,-0.5,-4.12
488,Black,Empress HT A3,0.3,22.06166667,8.801676766,0.335,61.71,1.511666667,13.41833333,35.45,-0.52,-4.11
510,Black,Empress HT A3,0.3,22.06166667,8.801676766,0.335,61.71,1.511666667,13.41833333,35.68,-0.71,-3.54
508,Black,Empress HT A3,0.3,22.06166667,8.801676766,0.335,61.71,1.511666667,13.41833333,35.69,-0.71,-3.51
506,Black,Empress HT A3,0.3,22.06166667,8.801676766,0.335,61.71,1.511666667,13.41833333,35.7,-0.68,-3.54
498,Black,Empress HT A3,0.3,22.06166667,8.801676766,0.335,61.71,1.511666667,13.41833333,36.18,-0.71,-4.97
496,Black,Empress HT A3,0.3,22.06166667,8.801676766,0.335,61.71,1.511666667,13.41833333,36.2,-0.72,-4.97
494,Black,Empress HT A3,0.3,22.06166667,8.801676766,0.335,61.71,1.511666667,13.41833333,36.21,-0.71,-4.97
1460,Black,Empress LT A3,0.3,22.06166667,8.801676766,0.335,64.305,2.135,14.82,36.27,-0.49,-4.4
1462,Black,Empress LT A3,0.3,22.06166667,8.801676766,0.335,64.305,2.135,14.82,36.27,-0.5,-4.41
1464,Black,Empress LT A3,0.3,22.06166667,8.801676766,0.335,64.305,2.135,14.82,36.29,-0.52,-4.41
484,Black,Empress HT A3,0.3,22.06166667,8.801676766,0.335,61.71,1.511666667,13.41833333,36.5,-0.73,-5.25
486,Black,Empress HT A3,0.3,22.06166667,8.801676766,0.335,61.71,1.511666667,13.41833333,36.5,-0.73,-5.23
482,Black,Empress HT A3,0.3,22.06166667,8.801676766,0.335,61.71,1.511666667,13.41833333,36.52,-0.77,-5.22
1466,Black,Empress LT A3,0.3,22.06166667,8.801676766,0.335,64.305,2.135,14.82,36.63,-0.48,-3.67
1468,Black,Empress LT A3,0.3,22.06166667,8.801676766,0.335,64.305,2.135,14.82,36.66,-0.46,-3.65
1470,Black,Empress LT A3,0.3,22.06166667,8.801676766,0.335,64.305,2.135,14.82,36.67,-0.5,-3.67
491,Black,Empress HT A3,0.3,22.06166667,8.801676766,0.335,61.71,1.511666667,13.41833333,36.76,-0.49,-4.03
489,Black,Empress HT A3,0.3,22.06166667,8.801676766,0.335,61.71,1.511666667,13.41833333,36.78,-0.48,-4.05
