,keras_cv,trial_index,arm_name,learning_rate,dropout_rate,num_hidden_layers,neurons_per_layer,batch_size,activation,optimizer,trial_status,generation_method
165,1.5176016449928285,68,68_0,0.006941900682957178,0.019898916033857985,4,194,64,relu,adam,COMPLETED,BO_MIXED
154,1.5975292086601258,58,58_0,0.007263690084409162,0.020003004593401857,4,194,64,relu,adam,COMPLETED,BO_MIXED
148,1.6043042480945586,53,53_0,0.006840113599480901,0.02016793776549631,4,194,64,relu,adam,COMPLETED,BO_MIXED
94,1.6095762193202972,183,183_0,0.009085182385779102,0.01978036666208066,4,190,64,relu,adam,COMPLETED,BO_MIXED
66,1.6498037576675415,158,158_0,0.007842086963689956,0.019923977482781016,4,199,64,relu,adam,COMPLETED,BO_MIXED
41,1.6787403643131256,135,135_0,0.007897626273135512,0.019785586396822184,4,200,64,relu,adam,COMPLETED,BO_MIXED
96,1.712288385629654,185,185_0,0.008118021224589973,0.019757567988171656,4,195,64,relu,adam,COMPLETED,BO_MIXED
64,1.7294063448905945,156,156_0,0.00799118680314238,0.019758710897255543,4,200,64,relu,adam,COMPLETED,BO_MIXED
172,1.7314652800559998,75,75_0,0.007087739966190565,0.01992841674720086,4,194,64,relu,adam,COMPLETED,BO_MIXED
145,1.7714382648468017,50,50_0,0.007388239310605603,0.02012936149303292,4,194,64,relu,adam,COMPLETED,BO_MIXED
174,1.788728952407837,77,77_0,0.0143942250982542,0.019544765020163425,4,200,64,relu,adam,COMPLETED,BO_MIXED
50,1.7951523661613464,143,143_0,0.00714705970314406,0.019746017753619456,4,200,64,relu,adam,COMPLETED,BO_MIXED
102,1.7952505588531493,191,191_0,0.008752681105393914,0.019819492803526285,4,195,64,relu,adam,COMPLETED,BO_MIXED
183,1.8641285181045533,85,85_0,0.01006857774001367,0.019707234190603887,4,198,64,relu,adam,COMPLETED,BO_MIXED
149,1.8652102172374725,54,54_0,0.006838171722253472,0.020375200088624576,4,194,64,relu,adam,COMPLETED,BO_MIXED
138,1.866009485721588,44,44_0,0.006684190586814805,0.01987403207497764,4,189,64,relu,adam,COMPLETED,BO_MIXED
51,1.8863628149032592,144,144_0,0.00849751711030585,0.01986043422572286,4,193,64,relu,adam,COMPLETED,BO_MIXED
61,1.908663660287857,153,153_0,0.008364950128008792,0.019827511608584023,4,196,64,relu,adam,COMPLETED,BO_MIXED
180,1.9106136322021485,82,82_0,0.011901113100836,0.019551221611640007,4,200,64,relu,adam,COMPLETED,BO_MIXED
146,1.924449622631073,51,51_0,0.007067715919352714,0.020396290561151012,4,195,64,relu,adam,COMPLETED,BO_MIXED
177,1.9300860524177552,79,79_0,0.011143475044387575,0.019532530079874127,4,200,64,relu,adam,COMPLETED,BO_MIXED
57,1.931039774417877,150,150_0,0.008682030324658236,0.019873888966010063,4,192,64,relu,adam,COMPLETED,BO_MIXED
152,1.9316768884658813,56,56_0,0.00746659183527069,0.020242643217791345,4,195,64,relu,adam,COMPLETED,BO_MIXED
7,1.9327151954174042,105,105_0,0.007953164548158061,0.01966858980403897,4,198,64,relu,adam,COMPLETED,BO_MIXED
